,,,,,,,,,,1338235.161
Material Issue Date,Issued To Code,Item Code,Item Desc.,Item Group,Item Category,Item Type,Issue Qty,Base UOM,Landed Rate,Landed Amount
10-10-2022,LIUGONG,CO40610,PENCIL,SMP,OT01,Stationery,2,NOS,5,10
10-10-2022,LIUGONG,CO40022,BLACK GOGGLE,SMP,Welding item,Consumables,1,NO,17,17
21-10-2022,LIUGONG,CT20078,"FLAP DISC WHEEL 4""",SMP,Punch,Consumables,20,NO,21,420
21-10-2022,LIUGONG,CS5106411,Grinding Wheel 4 inch,SMP,SP01,Store Item,4,NOS,34,136
21-10-2022,LIUGONG,CS50374,CUTTING WHEEL 4'',SMP,Punch,Consumables,10,NOS,13,130
21-10-2022,LIUGONG,CO40021,COTTON WASTE,SMP,Welding item,Consumables,1,Kg,42,42
21-10-2022,LIUGONG,CO40025,HAND GLOVES COTTON,SMP,Welding item,Consumables,10,SET,7,70
11-10-2022,LIUGONG,CS50374,CUTTING WHEEL 4'',SMP,Punch,Consumables,15,NOS,13,195
11-10-2022,LIUGONG,CT20078,"FLAP DISC WHEEL 4""",SMP,Punch,Consumables,10,NO,21,210
11-10-2022,LIUGONG,ST00000015,"GRINDING WHEEL 7"" Bosch",SMP,Punch,Consumables,10,NO,72,720
11-10-2022,LIUGONG,CO40021,COTTON WASTE,SMP,Welding item,Consumables,1,Kg,42,42
31-10-2022,LIUGONG,04U0009,Flange dia 82,SFG,SFG,Semi-finished Goods,4,NOS,300,"1,200.00"
31-10-2022,LIUGONG,36U0025,ELBOW,NA,ESP,Others,12,NOS,97,"1,164.00"
31-10-2022,LIUGONG,95A5475,PLATE,OTH,SFG,Semi-finished Goods,24,NOS,24.38,585
31-10-2022,LIUGONG,03U0011,Connector Dia 50,SFG,SFG,Semi-finished Goods,8,NOS,110,880
31-10-2022,LIUGONG,39U0003,SLEEVE dia 85,NA,ESP,Semi-finished Goods,4,NOS,617,"2,468.00"
31-10-2022,LIUGONG,53U0008,FLANGE dia 250,NA,ESP,Semi-finished Goods,8,NOS,890,"7,120.00"
31-10-2022,LIUGONG,00U0146,CONECTOR HY. 45*50,SMP,MCSP,Maintenance Items,12,NOS,145,"1,740.00"
31-10-2022,LIUGONG,03U0008,CONNECTOR,SMP,MCSP,Maintenance Items,4,NOS,110,440
31-10-2022,LIUGONG,95A5481,Plate OD32,OTH,SFG,Semi-finished Goods,14,NOS,30,420
31-10-2022,LIUGONG,CO40598,hand tape 8x1.25 mm,SMP,OT01,Store Item,1,SET,757.35,757.35
31-10-2022,LIUGONG,CO40628,HAND TAPE 10X1.25,CO,OT01,Store Item,1,NOS,711.15,711.15
31-10-2022,LIUGONG,CT20176,TAP SET 5.00 X 0.80MM,SMP,Punch,Consumables,1,SET,744.96,744.96
12-10-2022,LIUGONG,SSMB0001383,ESSAB  WELDING TOURCH PSF515 3m (500A),SMP,MCSP,Spare Parts,1,NO,"12,786.40","12,786.40"
12-10-2022,LIUGONG,SPCB000024,INMH 201213_GP Yellow Paint Primer,SMP,CE01,Store Item,18,Ltr,276,"4,968.00"
12-10-2022,LIUGONG,SPCB000028,INMH 201217_GP Grey Top Coat Paint,SMP,CE01,Store Item,18,Ltr,386,"6,948.00"
12-10-2022,LIUGONG,SPCB000029,INMH 201218_GP Top Coat Paint Hardner,SMP,CE01,Store Item,4,Ltr,469,"1,876.00"
31-10-2022,LIUGONG,CO40059,CO2 MIG WIRE 1.20,SMP,FCI,Consumables,75,Kg,95,"7,125.00"
31-10-2022,LIUGONG,SSMB000826,ESSAB TIP (1.6MM),SMP,MCSP,Store Item,1,SET,204,204
31-10-2022,LIUGONG,CC30090,ACM(Ar-80% & CO2-20%) ARGON,SMP,GAS,Consumables,3,NO,599.5,"1,798.50"
31-10-2022,LIUGONG,CS50924,TIP HOLDER 600 AMP PANASONIC,CO,SP01,Store Item,1,Kg,220,220
28-10-2022,LIUGONG,2808 FUEL TANK CAP,2808 FUEL TANK CAP MERCIDIES BENZ W/O KEYS,NA,LUG,Finished Goods,4,NO,132.85,531.38
28-10-2022,LIUGONG,2808 FUEL TANK CAP,2808 FUEL TANK CAP MERCIDIES BENZ W/O KEYS,NA,LUG,Finished Goods,4,NO,132.85,531.38
28-10-2022,LIUGONG,CS5106411,Grinding Wheel 4 inch,SMP,SP01,Store Item,8,NOS,34,272
28-10-2022,LIUGONG,CO40021,COTTON WASTE,SMP,Welding item,Consumables,1,Kg,42,42
26-10-2022,LIUGONG,03U0008,CONNECTOR,SMP,MCSP,Maintenance Items,4,NOS,110,440
26-10-2022,LIUGONG,00U0146,CONECTOR HY. 45*50,SMP,MCSP,Maintenance Items,12,NOS,145,"1,740.00"
26-10-2022,LIUGONG,53U0008,FLANGE dia 250,NA,ESP,Semi-finished Goods,8,NOS,890,"7,120.00"
26-10-2022,LIUGONG,39U0003,SLEEVE dia 85,NA,ESP,Semi-finished Goods,4,NOS,617,"2,468.00"
26-10-2022,LIUGONG,36U0025,ELBOW,NA,ESP,Others,12,NOS,97,"1,164.00"
26-10-2022,LIUGONG,CO40059,CO2 MIG WIRE 1.20,SMP,FCI,Consumables,60,Kg,97,"5,820.00"
26-10-2022,LIUGONG,CT20256,HAMMER 0.5 KGS,SMP,TL01,Store Item,2,NO,235.28,470.56
26-10-2022,LIUGONG,04U0009,Flange dia 82,SFG,SFG,Semi-finished Goods,4,NOS,300,"1,200.00"
26-10-2022,LIUGONG,03U0011,Connector Dia 50,SFG,SFG,Semi-finished Goods,8,NOS,110,880
26-10-2022,LIUGONG,95A5475,PLATE,OTH,SFG,Semi-finished Goods,24,NOS,30,720
26-10-2022,LIUGONG,95A5481,Plate OD32,OTH,SFG,Semi-finished Goods,12,NOS,30,360
13-10-2022,LIUGONG,CS50282,"SANDING PAPER 5"" 320 GRIT",SMP,SP01,Store Item,100,NO,20,"2,000.00"
13-10-2022,LIUGONG,CS50785,SANDING PAPER 80 GRIT 5'',SMP,SP01,Store Item,100,NOS,20,"2,000.00"
13-10-2022,LIUGONG,SPC0000047,PU POLISTER LIGHT WEIGHT PUTTY,NA,CE01,Store Item,4,Kg,295,"1,180.00"
13-10-2022,LIUGONG,CO40025,HAND GLOVES COTTON,SMP,Welding item,Consumables,2,SET,7,14
13-10-2022,LIUGONG,CO40021,COTTON WASTE,SMP,Welding item,Consumables,1,Kg,42,42
21-10-2022,LIUGONG,55A1387,BUSHING,SMP,SFG,Semi-finished Goods,9,NOS,600,"5,400.00"
21-10-2022,LIUGONG,CO40610,PENCIL,SMP,OT01,Stationery,2,NOS,5,10
13-10-2022,LIUGONG,SSM0000508,ABRO TAPE 2',SMP,OT01,Store Item,2,NO,40,80
26-10-2022,LIUGONG,SSMB000826,ESSAB TIP (1.6MM),SMP,MCSP,Store Item,1,SET,204,204
